Jul 24 07:57:48 knight-t101 systemd[1]: Starting lods-installer.service - projekt-lods installer...
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libbpf1 1:1.5.0-3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libbsd0 0.12.2-2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libbsd0 0.12.2-2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libbz2-1.0 1.0.8-6
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libbz2-1.0 1.0.8-6
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libc-bin 2.41-12+deb13u3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libc-bin 2.41-12+deb13u3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libc6 2.41-12+deb13u3
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libc6 2.41-12+deb13u3
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libcap-ng0 0.8.5-4+b1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libcap-ng0 0.8.5-4+b1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libcap2 1:2.75-10+deb13u1+b1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libcap2 1:2.75-10+deb13u1+b1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libcap2-bin 1:2.75-10+deb13u1+b1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libcap2-bin 1:2.75-10+deb13u1+b1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libcom-err2 1.47.2-3+b11
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libcom-err2 1.47.2-3+b11
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libcrypt1 1:4.4.38-1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libcrypt1 1:4.4.38-1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libdb5.3t64 5.3.28+dfsg2-9
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libdb5.3t64 5.3.28+dfsg2-9
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libdebconfclient0 0.280
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libdebconfclient0 0.280
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libedit2 3.1-20250104-1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libedit2 3.1-20250104-1
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libelf1t64 0.192-4
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libelf1t64 0.192-4
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libext2fs2t64 1.47.2-3+b11
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libext2fs2t64 1.47.2-3+b11
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libfdisk1 2.41-5
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libfdisk1 2.41-5
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libgcc-s1 14.2.0-19
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libgcc-s1 14.2.0-19
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libgmp10 2:6.3.0+dfsg-3
Jul 24 07:58:07 knight-t101 python3[1695]: I: Validating libgmp10 2:6.3.0+dfsg-3
Jul 24 07:58:07 knight-t101 python3[1695]: I: Retrieving libgssapi-krb5-2 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libgssapi-krb5-2 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libhogweed6t64 3.10.1-1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libhogweed6t64 3.10.1-1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libidn2-0 2.3.8-2
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libidn2-0 2.3.8-2
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libjansson4 2.14-2+b3
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libjansson4 2.14-2+b3
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libk5crypto3 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libk5crypto3 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libkeyutils1 1.6.3-6
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libkeyutils1 1.6.3-6
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libkmod2 34.2-2
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libkmod2 34.2-2
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libkrb5-3 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libkrb5-3 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libkrb5support0 1.21.3-5+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libkrb5support0 1.21.3-5+deb13u1
